participant_id,action,reward,response_time,reward_action0,reward_action1,reward_action2,reward_action3,trial_id,missed
100,2.0,64.0,840.0,18,49,64,46,111,False
100,2.0,68.0,883.0,33,47,68,51,112,False
100,2.0,74.0,772.0,34,55,74,43,113,False
100,2.0,80.0,820.0,31,46,80,38,114,False
100,2.0,70.0,809.0,30,40,70,40,115,False
100,2.0,73.0,1074.0,36,44,73,45,116,False
100,2.0,66.0,853.0,26,47,66,39,117,False
100,0.0,30.0,938.0,30,46,71,49,118,False
100,2.0,70.0,857.0,24,50,70,37,119,False
100,2.0,71.0,887.0,33,47,71,35,120,False
100,3.0,39.0,908.0,29,45,65,39,121,False
100,2.0,71.0,777.0,29,43,71,45,122,False
100,2.0,73.0,973.0,37,32,73,51,123,False
100,2.0,65.0,978.0,37,48,65,48,124,False
100,1.0,35.0,885.0,33,35,73,46,125,False
100,2.0,66.0,700.0,37,35,66,41,126,False
100,2.0,59.0,852.0,45,41,59,37,127,False
100,2.0,69.0,893.0,29,37,69,40,128,False
100,2.0,75.0,920.0,34,40,75,47,129,False
100,2.0,67.0,889.0,32,40,67,40,130,False
100,2.0,63.0,923.0,43,40,63,42,131,False
100,2.0,74.0,754.0,48,44,74,37,132,False
100,2.0,70.0,800.0,35,45,70,49,133,False
100,2.0,77.0,635.0,39,37,77,47,134,False
100,2.0,70.0,902.0,42,35,70,46,135,False
100,2.0,78.0,651.0,34,34,78,56,136,False
100,2.0,74.0,647.0,29,39,74,54,137,False
100,2.0,70.0,516.0,33,28,70,46,138,False
100,2.0,68.0,525.0,33,31,68,54,139,False
100,0.0,33.0,786.0,33,33,67,60,140,False
100,2.0,63.0,742.0,37,26,63,56,141,False
100,2.0,65.0,864.0,33,34,65,57,142,False
100,2.0,60.0,857.0,36,35,60,51,143,False
100,2.0,60.0,468.0,44,38,60,55,144,False
100,2.0,62.0,1370.0,47,35,62,48,145,False
100,2.0,61.0,832.0,46,47,61,57,146,False
100,1.0,35.0,783.0,46,35,70,43,147,False
100,2.0,60.0,821.0,46,44,60,59,148,False
100,2.0,56.0,878.0,39,35,56,51,149,False
101,1.0,87.0,1495.0,84,87,42,23,0,False
101,1.0,90.0,845.0,90,90,46,18,1,False
101,3.0,28.0,1110.0,80,84,53,28,2,False
101,1.0,81.0,889.0,87,81,50,24,3,False
101,0.0,86.0,977.0,86,92,61,28,4,False
101,2.0,55.0,1097.0,75,78,55,30,5,False
101,0.0,71.0,743.0,71,78,50,34,6,False
101,1.0,83.0,857.0,75,83,58,43,7,False
101,1.0,80.0,763.0,77,80,52,30,8,False
101,1.0,80.0,843.0,70,80,43,28,9,False
101,1.0,91.0,845.0,65,91,49,29,10,False
101,1.0,90.0,742.0,77,90,53,30,11,False
101,1.0,79.0,917.0,66,79,44,29,12,False
101,0.0,66.0,862.0,66,90,45,30,13,False
101,1.0,81.0,873.0,67,81,45,35,14,False
101,3.0,32.0,894.0,59,75,39,32,15,False
101,1.0,82.0,699.0,67,82,54,33,16,False
101,2.0,51.0,899.0,64,82,51,20,17,False
101,1.0,87.0,777.0,61,87,42,28,18,False
101,1.0,85.0,930.0,62,85,50,27,19,False
101,1.0,87.0,758.0,55,87,46,32,20,False
101,1.0,87.0,694.0,59,87,51,34,21,False
101,1.0,79.0,943.0,56,79,50,38,22,False
101,1.0,75.0,698.0,57,75,45,34,23,False
101,1.0,75.0,779.0,61,75,47,34,24,False
101,0.0,59.0,876.0,59,74,40,33,25,False
101,1.0,82.0,775.0,50,82,42,37,26,False
101,1.0,72.0,630.0,57,72,48,41,27,False
101,2.0,48.0,703.0,60,73,48,37,28,False
101,1.0,71.0,797.0,66,71,47,38,29,False
101,3.0,34.0,800.0,65,57,48,34,30,False
101,1.0,62.0,705.0,64,62,48,28,31,False
101,0.0,63.0,676.0,63,56,51,23,32,False
101,1.0,58.0,692.0,61,58,49,37,33,False
101,0.0,57.0,756.0,57,61,54,30,34,False
101,1.0,67.0,767.0,56,67,57,30,35,False
101,1.0,64.0,723.0,59,64,52,29,36,False
101,0.0,48.0,938.0,48,65,56,27,37,False
101,2.0,46.0,692.0,46,64,46,27,38,False
101,3.0,35.0,682.0,59,60,42,35,39,False
101,2.0,47.0,730.0,55,63,47,26,40,False
101,1.0,63.0,772.0,55,63,48,14,41,False
101,0.0,56.0,703.0,56,58,50,17,42,False
101,1.0,56.0,679.0,53,56,52,20,43,False
101,0.0,52.0,659.0,52,55,60,17,44,False
101,1.0,61.0,797.0,56,61,59,16,45,False
101,1.0,55.0,584.0,52,55,49,17,46,False
101,2.0,54.0,694.0,58,51,54,18,47,False
101,1.0,57.0,951.0,59,57,56,23,48,False
101,0.0,65.0,839.0,65,52,51,14,49,False
101,0.0,67.0,693.0,67,52,52,18,50,False
101,0.0,67.0,788.0,67,52,51,26,51,False
101,1.0,66.0,753.0,71,66,48,17,52,False
101,1.0,57.0,640.0,71,57,48,19,53,False
101,0.0,69.0,738.0,69,57,55,14,54,False
101,0.0,69.0,654.0,69,46,48,12,55,False
101,0.0,68.0,689.0,68,68,47,8,56,False
101,2.0,51.0,789.0,61,60,51,19,57,False
101,0.0,63.0,780.0,63,57,63,19,58,False
101,3.0,23.0,717.0,58,54,51,23,59,False
101,1.0,53.0,719.0,62,53,61,18,60,False
101,0.0,53.0,898.0,53,50,53,18,61,False
101,2.0,50.0,803.0,59,61,50,13,62,False
101,1.0,50.0,825.0,65,50,54,26,63,False
101,0.0,61.0,751.0,61,58,52,35,64,False
101,0.0,65.0,1034.0,65,54,54,27,65,False
101,0.0,61.0,1024.0,61,56,61,23,66,False
101,0.0,63.0,753.0,63,66,61,28,67,False
101,0.0,55.0,783.0,55,71,62,21,68,False
101,1.0,57.0,956.0,61,57,64,33,69,False
101,2.0,58.0,763.0,54,56,58,29,70,False
101,2.0,58.0,789.0,50,51,58,24,71,False
101,3.0,34.0,843.0,49,50,53,34,72,False
101,1.0,61.0,737.0,47,61,50,30,73,False
101,0.0,49.0,907.0,49,63,51,31,74,False
101,1.0,68.0,806.0,49,68,57,40,75,False
