Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-67.68,1,27
-67.61,1,27
-67.39,1,27
-67.05,1,27
-66.62,1,27
-66.1,1,27
-65.51,1,27.02
-64.84,1,27
-64.09,1,27
-63.25,1,27
-62.28,1,26.99
-61.16,1,27
-59.82,1,27
-58.15,1,27
-55.98,1,27
-52.94,1,27.01
-48.18,1,27
-39.36,1,26
-17.15,1,26.98
-65.44,1,27
-66.51,1,27
-67.22,1,27
-68.11,0,21.8
-70.99,0,17.27
-74.34,0,12.5
-79.4,0,2
-85.45,0,2
-87.02,0,2
-87.25,0,2
-87.16,0,2
-87.02,0,2
-86.86,0,2
-86.69,0,2
-86.53,0,2
-86.44,0,2
-86.22,0,2
-86.05,0,2
-85.97,0,2
-85.75,0,2
-85.58,0,2
-85.42,0,2
-85.26,0,2
-85.11,0,2
-84.95,0,2
-84.8,0,2
-84.65,0,2
-84.5,0,2
-84.35,0,2
-84.2,0,2
-84.06,0,2
-83.91,0,2
-83.76,0,2
-83.62,0,2
-83.48,0,2
-83.33,0,2
-83.19,0,2
-83.05,0,2
-82.91,0,2
-82.77,0,2
-82.64,0,2
-82.5,0,2
-82.36,0,2
-82.23,0,2
-82.1,0,2
-81.96,0,2
-81.83,0,2
-81.7,0,2
-81.66,0,2
-81.47,0,2
-81.32,0,2
-81.18,0,2
-81.15,0,2
-80.96,0,2
-80.81,0,2
-80.68,0,2
-80.56,0,2
-80.43,0,2
-80.31,0,2
-80.19,0,2
-80.07,0,2
-80.05,0,2
-79.97,0,2
-79.76,0,2
-79.61,0,2
-79.48,0,2
-79.36,0,1
-79.39,0,2
-79.19,0,1
-79.19,0,2
-78.97,0,2
-78.82,0,2
-78.7,0,2
-78.58,0,2
-78.47,0,2
-78.36,0,2
-78.25,0,2
-78.14,0,2
-78.04,0,2
-77.93,0,2
-77.83,0,2
-77.72,0,2
-77.82,0,2
-77.6,0,2
-77.45,0,2
-77.33,0,2
-77.34,0,2
-77.17,0,2
-77.04,0,1
-77.08,0,2
-76.89,0,2
-76.76,0,2
-76.64,0,2
-76.54,0,2
-76.44,0,2
-76.34,0,2
-66.01,1,94.16
4.58,1,157.8
-4.32,1,107.1
-33.66,1,44.33
-65,1,29.21
-63.53,1,27.27
-63.33,1,27.03
-63.13,1,27
-62.99,1,27
-62.49,1,27
-61.83,1,27
-60.99,1,27
-59.94,1,27
-58.6,1,27
-56.85,1,27
-54.45,1,27
-50.89,1,27
-44.88,1,27
-32.65,1,27
7.35,1,27
-65.96,1,27
-67.07,1,27
-67.79,1,27
-68.17,1,27
-68.28,1,27
-68.2,1,27
-67.97,1,27
-67.63,1,27
-67.21,1,27
-66.71,1,27
-66.14,1,27
-65.51,1,27
-64.81,1,27
-64.04,1,27
-63.16,1,27
-62.16,1,27
-61.2,1,27
-59.83,1,27
-58.13,1,27
-55.92,1,27
-52.81,1,27
-47.95,1,27
-38.84,1,27
-15.15,1,27.01
-65.43,1,27
-66.48,1,27
-67.34,1,27
-67.69,1,26.99
-67.78,1,27.01
-67.68,1,27
-67.44,1,27
-67.09,1,26.98
-66.66,1,27
-66.14,1,27
-65.54,1,27
-64.87,1,27
-64.12,1,27
-63.28,1,27
-62.31,1,27
-61.18,1,27
-59.84,1,27
-58.18,1,27
-56.01,1,27.01
-52.97,1,27
